employee_id,name,date_entry,first_country,2nd_country,thrd_count,favorite_word,cell_phone
8517,Guinevere Tate,2019-07-23 11:43:24,Ireland,Cayman Islands,Antarctica,"orci,",1-860-576-7072
8848,Damon Mcknight,2019-06-28 15:26:49,Norfolk Island,Fiji,Venezuela,ridiculus,1-119-624-7552
7927,Sopoline Hickman,2019-02-19 11:37:33,Switzerland,Brunei,Maldives,Aliquam,1-310-585-7169
7377,Carissa Glenn,2019-04-18 00:59:10,Finland,Reunion,Denmark,neque.,1-178-367-5761
8885,Micah Mckinney,2019-04-06 04:20:35,Turks and Caicos Islands,Ireland,Singapore,fringilla,1-250-235-7397
8580,Jolene Riley,2019-10-13 20:43:38,"Saint Helena, Ascension and Tristan da Cunha",Anguilla,France,orci,1-337-809-9241
7015,Karly Tucker,2020-01-08 14:11:55,United States,Bahamas,Anguilla,luctus,1-343-556-3845
8737,Ulla Warner,2020-03-25 10:35:40,Dominica,Kazakhstan,Saint Barthélemy,lobortis,1-475-118-7440
6668,Brady Best,2019-02-04 21:10:35,Benin,New Zealand,Saint Kitts and Nevis,condimentum.,1-947-591-8074
6003,Vivien Patterson,2020-08-31 13:19:57,Guam,Botswana,Fiji,Sed,1-295-568-0609
5988,Edward Prince,2018-10-21 08:47:33,Vanuatu,Cyprus,Macao,rutrum.,1-439-617-2449
6522,Callum Russo,2021-01-31 04:45:32,United States,Nigeria,Saint Pierre and Miquelon,Ut,1-271-529-3010
6979,Callum Perkins,2019-10-01 22:17:39,Curaçao,Germany,Guyana,risus,1-593-465-4589
6691,Martin Christian,2019-05-13 05:06:49,Congo (Brazzaville),Mali,Monaco,ac,1-107-477-0244
6640,George Harrison,2018-10-14 07:46:18,Bangladesh,Marshall Islands,Cocos (Keeling) Islands,neque.,1-752-208-8106
5583,Orli Reid,2019-05-27 17:05:51,Yemen,Thailand,Singapore,egestas.,1-619-492-6953
8539,Amelia Ewing,2019-07-14 23:02:01,Saint Pierre and Miquelon,Taiwan,French Polynesia,"elit,",1-509-492-8188
5984,Cody Brock,2019-09-27 00:58:29,Pakistan,Azerbaijan,Heard Island and Mcdonald Islands,hendrerit,1-419-233-2756
7655,Neil Allison,2020-06-28 18:46:22,Comoros,Western Sahara,Afghanistan,porttitor,1-788-395-6390
7674,Baxter Frederick,2018-11-19 10:40:55,Viet Nam,Madagascar,Egypt,Donec,1-720-560-2529
6461,Isabella Vazquez,2019-05-05 08:48:02,Isle of Man,Rwanda,Greenland,ipsum,1-744-280-7468
7935,Chanda Stone,2021-01-06 02:48:31,Germany,Nigeria,Senegal,Integer,1-760-200-5819
8766,Sylvia Morrison,2020-08-20 11:41:49,Jordan,Niger,Georgia,in,1-267-176-4742
7197,Freya Church,2020-10-11 01:53:33,Tuvalu,Iceland,Trinidad and Tobago,Vivamus,1-928-623-7647
8447,Xenos Craig,2020-06-18 13:26:43,Philippines,Cocos (Keeling) Islands,Belarus,interdum,1-951-651-4313
